text,label,intent_name
How long does it take for me to get my new card?,11,card_arrival
How can I put more money into my account?,58,top_up_by_cash_or_cheque
I exchanged cash when traveling and the rate was incorrect.,76,wrong_exchange_rate_for_cash_withdrawal
I would like to better understand why my pass-code is not working.,44,passcode_forgotten
Why are my transfers and purchases keep getting declined?,27,declined_transfer
Why was I charged for withdrawing cash?,19,cash_withdrawal_charge
Why do you keep declining my payment?I tried several times already with this card and it is just not working.,25,declined_card_payment
I have been waiting for my card payment to be moved from pending status for an unusually long time.  What is going on here and do you have an idea of when I can expect it to go through?,45,pending_card_payment
I would like to move money from one account to another to top off my account. Can you explain how I can do that?,65,transfer_into_account
"This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined.",26,declined_cash_withdrawal
How can I change my address?,30,edit_personal_details
"my card details could be stolen, as i didnt make these transactions",22,compromised_card
Why check my identity?,74,why_verify_identity
What's the process for topping up by card?,62,topping_up_by_card
I need to withdraw money. Where can I do that?,3,atm_support
My card must have used my card as there are some transactions that I haven't done myself..,22,compromised_card
Can I reset my PIN?,21,change_pin
Why would the app show a withdrawal that I did not make?,20,cash_withdrawal_not_recognised
I withdraw money abroad but I didn't get the right amount.,76,wrong_exchange_rate_for_cash_withdrawal
Can I use my account before the identity verification is complete?,74,why_verify_identity
I prefer mastercard.,73,visa_or_mastercard
am i able to receive my salary this way?,50,receiving_money
What is minimum age for an account?,1,age_limit
No refund showing in my statement.,51,Refund_not_showing_up
can my husband open an account and transfer money,50,receiving_money
I'm confused. My contactless is suddenly not working anywhere that I try to use it. How do I fix it?,23,contactless_not_working
Why haven't I seen the cash from the cheque I deposited yet?,6,balance_not_updated_after_cheque_or_cash_deposit
I visited the ATM but got less money than what I requested. Why?,75,wrong_amount_of_cash_received
Whats the process of tranfering money into an account?,65,transfer_into_account
I am suppose to be getting a refund from something I purchased but it hasn't showed up in my account.,51,Refund_not_showing_up
I noticed my card was used in a small town that I have never been to. Can you stop the card from being used more?,22,compromised_card
My card has been stolen what do I do?,41,lost_or_stolen_card
Can I specify a day for my card to be delivered?,12,card_delivery_estimate
Why is the exchange rate different from what I expected?,17,card_payment_wrong_exchange_rate
Can I stop a transaction?,8,cancel_transfer
How long does it take to show a deposit I made to my balance?,6,balance_not_updated_after_cheque_or_cash_deposit
How do I take a block off my card?,49,pin_blocked
When will my card come? I need it as soon as possible!,12,card_delivery_estimate
Is there a way to undo a transaction?,8,cancel_transfer
How can I verify the top-up card?,71,verify_top_up
There is a direct debit patentp that I haven't authorized.,28,direct_debit_payment_not_recognised
Please help.  The card won't work.,14,card_not_working
It's not letting me transfer money to my beneficiery.,7,beneficiary_not_allowed
There is money missing from my account.,20,cash_withdrawal_not_recognised
Why can't I get my top up to work in Apple Pay?,2,apple_pay_or_google_pay
I want to transfer money using my credit card.,62,topping_up_by_card
What am I going to need in order to activate my card?,0,activate_my_card
"I am in desperate need to transfer funds from another account that i have into this one, how do i do that?",65,transfer_into_account
I need to cancel a transfer I made.,8,cancel_transfer
"My card was lost on vacation, I don't know where it is. Can you help me take care of this immediately?",41,lost_or_stolen_card
Is there a  way to  get around fees,15,card_payment_fee_charged
How do I add money to my card?,62,topping_up_by_card
Why is the payment on my card still pending?,45,pending_card_payment
Do you have any fees if I want to add money using an international card.,57,top_up_by_card_charge
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",19,cash_withdrawal_charge
is it possible to get a refund for something I purchased?,52,request_refund
there is a debit i dont recognize,28,direct_debit_payment_not_recognised
I found my card! Can I link it back into the app?,13,card_linking
"My card payment was reverted, why?",53,reverted_card_payment?
How many different currencies can I hold money in?,36,fiat_currency_support
I tried to do a transfer but I got a message that it was declined.,27,declined_transfer
Can you tell me where my readily available cash has come from?,70,verify_source_of_funds
My payment's stuck on pending.,45,pending_card_payment
Can I activate my card?,0,activate_my_card
I can't use my virtual disposable card,72,virtual_card_not_working
Can I get a card in the US?,24,country_support
"i received my American Express in Apple pay, why is top up not working?",2,apple_pay_or_google_pay
"If I get a transfer from Europe, how long until it is in my account?",67,transfer_timing
Could you please freeze my card immediately?,41,lost_or_stolen_card
i don't see the top-up verification code anywhere,71,verify_top_up
I can't get the virtual card to work,72,virtual_card_not_working
The transfer on my account is not showing up.,5,balance_not_updated_after_bank_transfer
There was a charge applied when I used my card.,15,card_payment_fee_charged
I see I was charged $1 for a transaction.,34,extra_charge_on_statement
Where can I find out where my funds came from?,70,verify_source_of_funds
Why can't I buy cryptocurrency on the app?,7,beneficiary_not_allowed
Is exchanging currencies a feature of the app?,33,exchange_via_app
